Category,Logo,Tool,Type,Website,What it does,Approx cost (Jun 2026),Works with Claude?,Pros,Cons,Best for,Integration /10,Cost value /10,Functionality /10,Overall,Rank in category
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=wrike.com&sz=64"")",Wrike,Freemium,wrike.com,Enterprise project management with AI work intelligence,Free; from $10/user/mo,No,Strong enterprise PM features,Automation not its core,Enterprise PMOs,5,6,6,5.7,14
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=integrately.com&sz=64"")",Integrately,Freemium,integrately.com,One-click automation templates (Zapier alternative),Free; from $19.99/mo,Partial — Anthropic app available,8M+ ready automations; cheap multi-step,Less flexible than Make,SMBs wanting instant recipes,6,8,6,6.7,9
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=gumloop.com&sz=64"")",Gumloop,Freemium,gumloop.com,"AI-native workflow builder (scraping, LLM steps, agents)",Free; from $97/mo,Yes — Claude nodes built in,"Built AI-first, not retrofitted; powerful for AI pipelines",Expensive; newer vendor,AI-heavy growth/ops teams,7,5,8,6.7,10
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=relay.app&sz=64"")",Relay.app,Freemium,relay.app,Human-in-the-loop AI automation with approvals,Free; from $9/user/mo,Yes — Claude steps supported,Elegant approvals model; generous free tier,Fewer integrations than Zapier,Teams wanting AI + human checkpoints,7,8,7,7.3,6
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=camunda.com&sz=64"")",Camunda,Freemium,camunda.com,Enterprise process orchestration (BPMN) with AI task agents and connectors,SaaS from ~$99/mo; enterprise custom; Camunda 7 CE is open source,Partial — Anthropic connector for AI tasks,Standards-based (BPMN/DMN); serious orchestration at scale,Developer-oriented; enterprise pricing beyond starter tier,Enterprises orchestrating complex processes,7,6,8,7.0,7
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=lindy.ai&sz=64"")",Lindy,Freemium,lindy.ai,"No-code AI agent builder ('Lindies') for email, sales outreach, scheduling and ops",Free tier; from $49.99/mo,Yes — built on Anthropic/Claude models,Fast agent building; big template library,Credits run out fast on heavy workflows,Solopreneurs and ops teams automating with agents,7,7,7,7.0,8
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Activepieces,Open source (GitHub),github.com/activepieces/activepieces,Open-source (MIT) Zapier alternative with AI pieces and MCP,Free self-host; cloud free tier,Yes — Claude pieces + MCP server support,True MIT OSS; growing connector library,Fewer connectors than Zapier,Self-hosters replacing Zapier,8,10,7,8.3,4
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Windmill,Open source (GitHub),github.com/windmill-labs/windmill,Open-source developer platform for scripts→workflows→UIs,Free self-host; cloud tiers,Yes — AI steps with Anthropic; Claude writes its scripts,Code-first power; great for engineers,Not for non-coders,Engineering teams automating internally,7,10,8,8.3,5
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Automatisch,Open source (GitHub),github.com/automatisch/automatisch,Open-source Zapier alternative focused on simplicity,Free self-host,Partial — community connectors,Simple OSS automation,Small connector set,Basic self-hosted automations,5,10,5,6.7,11
AI Workflow Automation,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Huginn,Open source (GitHub),github.com/huginn/huginn,Veteran open-source agents that monitor and act on your behalf,Free self-host,No — pre-LLM design (can call APIs),Battle-tested; runs anywhere,Dated UX; Ruby stack,Hackers automating feeds/alerts,4,10,5,6.3,13
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=hubspot.com&sz=64"")",HubSpot,Freemium,hubspot.com,CRM platform with Breeze AI agents across marketing/sales/service,Free CRM; paid hubs from $20/user/mo,Yes — official HubSpot MCP server works with Claude,Free CRM entry; AI across whole funnel; MCP,Costs climb steeply with hubs/contacts,SMBs growing into a full CRM,9,6,9,8.0,1
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=salesforce.com&sz=64"")",Salesforce (Agentforce),Paid,salesforce.com,Enterprise CRM leader with Agentforce AI agents and Einstein AI,From $25/user/mo; Agentforce usage-priced extra,Yes — Claude available in Agentforce via the Anthropic partnership,Enterprise standard; AI agents on your own CRM data,Cost and complexity stack quickly,Mid-size to enterprise sales orgs,9,4,9,7.3,3
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=apollo.io&sz=64"")",Apollo.io,Freemium,apollo.io,B2B contact database + sequencing + AI sales engagement,Free; from $49/user/mo,Partial — API/Zapier; community MCP,275M-contact database with outreach in one,Data accuracy varies; email deliverability care,Outbound SDR teams,7,7,8,7.3,4
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=clay.com&sz=64"")",Clay,Paid,clay.com,Data enrichment + AI research agent (Claygent) for hyper-personalised outbound,From $134/mo,Yes — Claude usable as enrichment model,Combines 100+ data sources; AI personalisation at scale,Steep learning curve and price,Growth teams doing serious outbound,8,5,9,7.3,5
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=pipedrive.com&sz=64"")",Pipedrive,Paid,pipedrive.com,Easy SMB sales CRM with AI sales assistant and automations,From $14/user/mo,No,Fast to adopt; great pipeline view; fair price,Light for complex enterprise needs,SMB sales teams,6,7,7,6.7,7
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=gong.io&sz=64"")",Gong,Paid,gong.io,"Revenue intelligence: call recording, deal insights, forecasting","~$1,400/user/yr + platform fee",Partial — API; Anthropic models used internally,Category leader; coaching gold,Enterprise pricing; adoption effort,Sales orgs 20+ reps,7,3,9,6.3,9
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=clari.com&sz=64"")",Clari,Paid,clari.com,"Revenue platform: AI forecasting, deal inspection, pipeline health",Enterprise custom pricing,No,Best-in-class forecasting accuracy,Enterprise price; needs clean CRM data,Revenue leaders at 50+ rep orgs,6,3,8,5.7,12
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=attention.com&sz=64"")",Attention,Paid,attention.com,"AI sales assistant: call recording, auto CRM fill, coaching, follow-up emails",From ~$50/user/mo (custom),No,Strong CRM-hygiene automation; fast follow-ups,Younger than Gong; custom pricing,Mid-market sales teams,5,5,7,5.7,13
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=lavender.ai&sz=64"")",Lavender,Freemium,lavender.ai,AI email coach that scores and improves sales emails,Free; from $27/mo,No,Real-time coaching improves reply rates,Email-only scope,SDRs writing cold email,4,6,6,5.3,16
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=outreach.io&sz=64"")",Outreach,Paid,outreach.io,Enterprise sales engagement and execution platform,~$100+/user/mo,No,"Deep workflows, forecasting; enterprise-grade",Cost & complexity,Enterprise sales orgs,6,4,8,6.0,11
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=sybill.ai&sz=64"")",Sybill,Paid,sybill.ai,"AI deal copilot: call summaries, CRM autofill, behaviour signals",From $49/user/mo,No,Automatic CRM hygiene; emotion/engagement signals,Per-seat cost; niche,AEs hating CRM data entry,5,5,7,5.7,14
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=askdonna.com&sz=64"")",Donna,Paid,askdonna.com,"Proactive AI assistant for field sales: voice-to-CRM, visit prep, follow-ups (Salesforce/SAP)",Custom per-seat (quote),No,Built for reps on the road; CRM updates without typing,Young vendor; quote-only pricing,Field sales and manufacturing reps,5,5,7,5.7,15
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=blueticks.co&sz=64"")",Blueticks,Freemium,blueticks.co,"WhatsApp scheduler, bulk marketing campaigns, AI support agent and CRM/task management (Chrome extension)",Free (1 msg at a time); paid from ~$15/mo,"Yes — official Blueticks MCP server lets Claude read, send and schedule WhatsApp messages",Botless WhatsApp automation from your own number; MCP lets Claude operate WhatsApp; privacy-first (data stays on device),Unofficial WhatsApp automation risks account limits; Chrome-extension-bound; not affiliated with Meta,SMBs and sellers running sales & support over WhatsApp,7,7,7,7.0,6
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Twenty,Open source (GitHub),github.com/twentyhq/twenty,Modern open-source CRM (the OSS Salesforce alternative),Free self-host; cloud from $9/user/mo,Partial — API/webhooks; community MCP,Beautiful modern OSS CRM; data ownership,Younger ecosystem; fewer native integrations,Startups wanting an ownable CRM,6,10,7,7.7,2
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",EspoCRM,Open source (GitHub),github.com/espocrm/espocrm,Mature open-source CRM with workflows and email,Free self-host; cloud from $15/mo,No,"Proven, full-featured, cheap",Dated UI; AI minimal,Cost-sensitive sales teams,4,10,6,6.7,8
AI Sales & CRM,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Frappe CRM,Open source (GitHub),github.com/frappe/crm,Clean open-source CRM from the ERPNext ecosystem,Free self-host; cloud plans,No,Modern UX; ERPNext integration,Smaller community,Companies already on Frappe/ERPNext,4,10,5,6.3,10
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=zoominfo.com&sz=64"")",ZoomInfo Copilot,Paid,zoominfo.com,B2B contact/company database with intent data and an AI copilot,From ~$15k/yr (contract),No,Deepest B2B data + buying-intent signals,Expensive annual contracts,Enterprise outbound teams,6,3,9,6.0,5
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=lusha.com&sz=64"")",Lusha,Freemium,lusha.com,B2B contact data via web app and Chrome extension,Free; from $36/user/mo,No,Easy to use; compliance-focused data,Smaller database than ZoomInfo,SDRs needing quick contact data,5,6,6,5.7,12
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=seamless.ai&sz=64"")",Seamless.AI,Freemium,seamless.ai,Real-time AI search engine for B2B contact information,Free credits; from ~$147/mo,No,Real-time verification; high volumes,Data-accuracy complaints; pushy sales motion,High-volume prospectors,4,5,6,5.0,19
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=instantly.ai&sz=64"")",Instantly,Paid,instantly.ai,"Cold email at scale: warmup, inbox rotation, deliverability, AI writing",From $37/mo,No,Best-known deliverability stack; unlimited sending accounts,Cold-email compliance is on you,Agencies and outbound startups,5,7,7,6.3,3
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=smartlead.ai&sz=64"")",Smartlead,Paid,smartlead.ai,Cold email infrastructure with unlimited mailboxes and AI warmup,From $39/mo,No,Unlimited mailboxes; API-first,UI rough edges,Outbound agencies,5,7,7,6.3,4
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=lemlist.com&sz=64"")",lemlist,Paid,lemlist.com,Multichannel outreach (email/LinkedIn/calls) with AI personalisation,From $39/user/mo,No,"Strong personalisation (images, dynamic content)",Per-seat costs add up,SDRs doing personalised sequences,5,6,7,6.0,6
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=reply.io&sz=64"")",Reply.io,Paid,reply.io,AI SDR agents plus multichannel sales sequences,From $59/user/mo; AI SDR from ~$259/mo,No,Mature sequencer with AI-agent option,AI-agent quality varies,Lean teams automating outreach,5,6,7,6.0,7
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=qualified.com&sz=64"")",Qualified,Paid,qualified.com,AI SDR 'Piper' converts website visitors into pipeline (Salesforce-native),"From ~$3,500/mo",No,Best-in-class inbound conversion for Salesforce shops,Enterprise pricing; Salesforce required,Enterprise demand-gen teams,6,3,8,5.7,13
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=11x.ai&sz=64"")",11x,Paid,11x.ai,Autonomous 'digital worker' AI SDRs (Alice) running outbound end-to-end,Custom (thousands/mo),No,Fully autonomous outbound experiments,Mixed quality reports; hype-heavy category,Teams experimenting with AI SDRs,4,3,6,4.3,24
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=artisan.co&sz=64"")",Artisan,Paid,artisan.co,"AI BDR 'Ava': finds leads, researches, writes and sends outbound",Custom (from ~$2k/mo),No,Consolidates data + email infra + AI in one,Young product; needs supervision,Startups without SDR headcount,4,3,6,4.3,25
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=nooks.ai&sz=64"")",Nooks,Paid,nooks.ai,"AI parallel dialer, virtual salesfloor and call coaching",Custom (~$200/user/mo),No,3-5x connect rates for calling teams,Dialer-centric; custom pricing,Cold-calling SDR teams,5,4,7,5.3,14
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=warmly.ai&sz=64"")",Warmly,Freemium,warmly.ai,De-anonymises website visitors and orchestrates AI outreach to them,Free; from ~$700/mo,No,Good intent signals for the price,Pricing jumps sharply after free tier,SMB pipeline teams,4,5,6,5.0,20
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=crystalknows.com&sz=64"")",Crystal,Freemium,crystalknows.com,DISC personality profiles for prospects to tailor messaging,Free; from $49/mo,No,Unique personality-based angle,Profile accuracy varies,Relationship-driven sellers,4,5,6,5.0,21
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=regie.ai&sz=64"")",Regie.ai,Paid,regie.ai,Generative AI platform for sales prospecting content and sequencing,Custom pricing,No,Brand-controlled AI sales content at scale,Opaque pricing,Enterprise SDR organisations,4,4,6,4.7,23
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=salesape.ai&sz=64"")",SalesAPE.ai,Paid,salesape.ai,AI inbound sales agent: qualifies leads via chat/SMS/WhatsApp/email and books meetings 24/7,~$999/mo + ~$3k setup (quote-based),No,Responds to inbound leads in seconds across channels,Quote-only pricing; setup fee,SMBs losing inbound leads to slow follow-up,4,4,7,5.0,22
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=altahq.com&sz=64"")",Alta,Paid,altahq.com,"AI GTM agent team (Katie SDR, Alex calling, Luna analytics) on one shared data layer",Custom platform fee,No,Full agent team incl. voice; Salesforce app; used by Snowflake/Deel,Custom pricing; newer vendor,B2B teams automating top-of-funnel,6,4,8,6.0,8
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=salescloser.ai&sz=64"")",SalesCloser AI,Paid,salescloser.ai,"AI sales agent that runs discovery and demo calls over phone/Zoom in 32+ languages, 24/7","From $1,000/mo; Enterprise $2,500/mo",No,Flat-rate pricing; screen-share demos; multilingual,Trusting AI to run sales calls suits simple products best,"SaaS with high-volume, simple demos",5,4,7,5.3,15
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=aisdr.com&sz=64"")",AiSDR,Paid,aisdr.com,AI SDR for email + LinkedIn outreach with HubSpot/Salesforce integration,"From $900/mo (1,200 messages)",No,Transparent pricing; solid CRM integrations,Feature set reflects the price point,Teams testing AI SDRs without enterprise contracts,5,4,7,5.3,16
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=salesforge.ai&sz=64"")",Salesforge,Paid,salesforge.ai,"Cold email platform with 'Agent Frank', an AI SDR in co-pilot or autopilot mode",From $40/mo; Agent Frank from $416/mo,No,Co-pilot mode keeps humans in the loop; good deliverability,Email-focused,Lean outbound teams,5,6,7,6.0,9
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=amplemarket.com&sz=64"")",Amplemarket,Paid,amplemarket.com,"AI sales platform with 'Duo' copilot: B2B data, sequencing and AI in one","~$3,200/user/yr (annual contracts)",No,Human+AI Duo approach; all-in-one data + outreach,Annual commitment; pricier per seat,Mid-market outbound teams,6,4,8,6.0,10
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=relevanceai.com&sz=64"")",Relevance AI,Freemium,relevanceai.com,No-code AI workforce builder: custom sales agents (incl. Bosh AI BDR) and workflows,Free tier; from ~$19/mo + usage,Yes — Claude selectable as the agent model,Build exactly the agent you want without code,More setup than turnkey AI SDRs,RevOps teams building custom agents,7,7,7,7.0,1
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=unifygtm.com&sz=64"")",Unify,Paid,unifygtm.com,"Warm outbound: buying signals, website intent and AI-personalised sequences",From ~$700/mo (custom),No,Signal-based outbound beats cold lists,Price; needs traffic/signals to shine,PLG and mid-market growth teams,5,4,7,5.3,17
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=commonroom.io&sz=64"")",Common Room,Paid,commonroom.io,"Customer intelligence: aggregates community, product and social signals for GTM (RoomieAI)",From ~$999/mo,No,Unmatched signal coverage (30+ channels),Cost; needs dedicated ops attention,DevTool and PLG companies,6,4,8,6.0,11
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=humantic.ai&sz=64"")",Humantic AI,Freemium,humantic.ai,Buyer personality intelligence (DISC) for personalised selling in LinkedIn/CRM,Free trial; from ~$30/mo,No,Personality insights where you work,Accuracy debatable; niche,Enterprise AEs personalising outreach,4,6,6,5.3,18
AI Sales Outreach & Prospecting,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Listmonk,Open source (GitHub),github.com/knadh/listmonk,Self-hosted high-performance email campaign and newsletter manager,Free (self-host),Partial — pair with Claude to draft campaigns,Free at any scale; fast; API-driven,"Warm-list campaigns, not cold outreach",Self-hosters sending email campaigns,5,10,6,7.0,2
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=semrush.com&sz=64"")",Semrush,Paid,semrush.com,All-in-one SEO/SEM platform with AI features and ContentShake,From $139.95/mo,No,Deepest SEO dataset; AI content tools,Expensive; overwhelming,SEO professionals,6,4,9,6.3,4
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=ahrefs.com&sz=64"")",Ahrefs,Paid,ahrefs.com,Backlink/keyword research leader with AI content helper,From $129/mo,No,Best link data; clean UX,No free tier; AI is light,Link-building and SEO research,5,4,9,6.0,7
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=surferseo.com&sz=64"")",Surfer,Paid,surferseo.com,On-page SEO content optimisation with AI writing,From $89/mo,No,Clear data-driven content scores,Per-article economics; SERP-chasing risk,Content teams optimising for Google,5,5,8,6.0,8
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=adcreative.ai&sz=64"")",AdCreative.ai,Paid,adcreative.ai,AI ad creative and copy generation with performance scoring,From $25/mo,No,Volume ad-variant generation; scoring,Template look; aggressive billing reputation — check terms,Performance marketers,4,6,6,5.3,10
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=hootsuite.com&sz=64"")",Hootsuite,Paid,hootsuite.com,Social media management with OwlyWriter AI,From $99/mo,No,Mature scheduling/listening suite,Expensive; AI basic,Social teams managing many accounts,5,4,7,5.3,11
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=buffer.com&sz=64"")",Buffer,Freemium,buffer.com,Simple social scheduling with AI assistant,Free; $6/channel/mo,No,Affordable; clean; good AI repurposing,Lighter analytics,Creators and small brands,5,8,6,6.3,5
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=mailchimp.com&sz=64"")",Mailchimp,Freemium,mailchimp.com,Email marketing with AI content and journeys,Free; from $13/mo,No,Familiar; AI campaign generation,Pricing grows with list; CRM-lite,SMB email marketing,6,6,7,6.3,6
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=trysoro.com&sz=64"")",Soro,Paid,trysoro.com,"SEO autopilot: researches keywords, writes, optimises and auto-publishes articles (WordPress/Shopify/Webflow)",From $39/mo,No,Hands-off SEO content pipeline; cheap,AI-content quality and Google-policy risk need human review,Niche-site builders and small ecommerce,4,7,6,5.7,9
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Mautic,Open source (GitHub),github.com/mautic/mautic,"Open-source marketing automation (email, journeys, segmentation)",Free (self-host),No,Full marketing automation without per-contact fees,Self-host complexity; plugins needed,Companies escaping HubSpot/Marketo pricing,5,10,7,7.3,1
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Postiz,Open source (GitHub),github.com/gitroomhq/postiz-app,Open-source AI social media scheduling (Buffer/Hootsuite alternative),Free self-host; cloud from $29/mo,Partial — BYO AI keys,OSS scheduling for 15+ platforms with AI,Young project,Self-hosted social scheduling,6,9,6,7.0,2
AI Marketing & SEO,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",Matomo,Open source (GitHub),github.com/matomo-org/matomo,Open-source web analytics (Google Analytics alternative),Free self-host; cloud from $23/mo,No,Privacy-compliant analytics you own,No AI insights layer yet,Privacy-first site analytics,4,9,7,6.7,3
AI Research Tools,"=IMAGE(""https://www.google.com/s2/favicons?domain=elicit.com&sz=64"")",Elicit,Freemium,elicit.com,AI research assistant that searches and summarises academic papers,Free; Plus $12/mo,No — (Anthropic models used under the hood historically),Systematic-review-grade extraction tables,Academic papers only,Researchers and grad students,5,7,8,6.7,2
AI Research Tools,"=IMAGE(""https://www.google.com/s2/favicons?domain=consensus.app&sz=64"")",Consensus,Freemium,consensus.app,Search engine answering questions from peer-reviewed evidence,Free; Premium $11.99/mo,No,Evidence meters; citation-grounded answers,Narrower than general search,Evidence-based professionals,4,7,7,6.0,4
AI Research Tools,"=IMAGE(""https://www.google.com/s2/favicons?domain=scispace.com&sz=64"")",SciSpace,Freemium,scispace.com,"Read, annotate and chat with research PDFs; literature review AI",Free; from $12/mo,No,Great PDF explanation UX,Aggressive upsells,Students decoding dense papers,4,7,6,5.7,5
AI Research Tools,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",GPT Researcher,Open source (GitHub),github.com/assafelovic/gpt-researcher,Open-source autonomous deep-research agent producing cited reports,Free + API costs,Yes — supports Anthropic/Claude as the LLM,Free deep-research with citations; local & web,Setup + API keys; report quality varies by model,Developers automating research,7,9,7,7.7,1
AI Research Tools,"=IMAGE(""https://www.google.com/s2/favicons?domain=github.com&sz=64"")",STORM,Open source (GitHub),github.com/stanford-oval/storm,Stanford's open-source Wikipedia-style article research/writing system,Free + API costs,Yes — configurable to Claude models,Research-grade outline→article pipeline,Academic tool; rough edges,Long-form grounded content experiments,5,9,6,6.7,3
